Package_ID,Assigned_UID
P1,NONE
P2,ULD-5
P3,NONE
P4,NONE
P5,NONE
P6,NONE
P7,ULD-5
P8,ULD-5
P9,ULD-4
P10,NONE
P11,NONE
P12,NONE
P13,NONE
P14,NONE
P15,ULD-3
P16,NONE
P17,NONE
P18,NONE
P19,ULD-1
P20,NONE
P21,NONE
P22,NONE
P23,ULD-5
P24,ULD-4
P25,NONE
P26,NONE
P27,ULD-4
P28,NONE
P29,NONE
P30,NONE
P31,NONE
P32,ULD-6
P33,NONE
P34,NONE
P35,NONE
P36,ULD-7
P37,NONE
P38,NONE
P39,NONE
P40,NONE
P41,NONE
P42,NONE
P43,ULD-7
P44,NONE
P45,NONE
P46,ULD-9
P47,NONE
P48,NONE
P49,ULD-8
P50,ULD-2
P51,NONE
P52,ULD-1
P53,ULD-4
P54,NONE
P55,NONE
P56,NONE
P57,NONE
P58,ULD-6
P59,NONE
P60,NONE
P61,NONE
P62,NONE
P63,ULD-4
P64,NONE
P65,ULD-5
P66,NONE
P67,NONE
P68,NONE
P69,NONE
P70,NONE
P71,NONE
P72,NONE
P73,ULD-4
P74,NONE
P75,ULD-9
P76,NONE
P77,NONE
P78,ULD-8
P79,NONE
P80,NONE
P81,ULD-2
P82,ULD-4
P83,NONE
P84,NONE
P85,NONE
P86,ULD-9
P87,NONE
P88,NONE
P89,NONE
P90,NONE
P91,NONE
P92,NONE
P93,NONE
P94,ULD-9
P95,NONE
P96,NONE
P97,NONE
P98,NONE
P99,ULD-6
P100,NONE
P101,NONE
P102,NONE
P103,NONE
P104,NONE
P105,NONE
P106,ULD-7
P107,NONE
P108,NONE
P109,NONE
P110,NONE
P111,NONE
P112,NONE
P113,NONE
P114,NONE
P115,NONE
P116,NONE
P117,NONE
P118,ULD-4
P119,NONE
P120,NONE
P121,NONE
P122,NONE
P123,NONE
P124,NONE
P125,ULD-4
P126,NONE
P127,NONE
P128,NONE
P129,ULD-8
P130,NONE
P131,NONE
P132,NONE
P133,ULD-9
P134,NONE
P135,NONE
P136,NONE
P137,NONE
P138,NONE
P139,NONE
P140,NONE
P141,NONE
P142,NONE
P143,NONE
P144,ULD-8
P145,NONE
P146,NONE
P147,NONE
P148,NONE
P149,NONE
P150,NONE
P151,NONE
P152,NONE
P153,NONE
P154,NONE
P155,NONE
P156,NONE
P157,ULD-6
P158,NONE
P159,NONE
P160,NONE
P161,NONE
P162,NONE
P163,ULD-9
P164,NONE
P165,NONE
P166,NONE
P167,NONE
P168,NONE
P169,NONE
P170,NONE
P171,NONE
P172,ULD-7
P173,NONE
P174,NONE
P175,NONE
P176,ULD-9
P177,NONE
P178,ULD-3
P179,NONE
P180,ULD-8
P181,NONE
P182,NONE
P183,ULD-7
P184,NONE
P185,NONE
P186,NONE
P187,NONE
P188,NONE
P189,NONE
P190,NONE
P191,NONE
P192,ULD-7
P193,NONE
P194,NONE
P195,ULD-4
P196,ULD-5
P197,NONE
P198,NONE
P199,NONE
P200,NONE
P201,NONE
P202,NONE
P203,NONE
P204,NONE
P205,NONE
P206,NONE
P207,ULD-3
P208,ULD-4
P209,NONE
P210,NONE
P211,NONE
P212,NONE
P213,NONE
P214,NONE
P215,ULD-4
P216,NONE
P217,NONE
P218,NONE
P219,NONE
P220,NONE
P221,NONE
P222,NONE
P223,NONE
P224,NONE
P225,NONE
P226,NONE
P227,ULD-5
P228,NONE
P229,NONE
P230,NONE
P231,NONE
P232,ULD-6
P233,NONE
P234,NONE
P235,NONE
P236,NONE
P237,NONE
P238,ULD-4
P239,NONE
P240,NONE
P241,NONE
P242,NONE
P243,NONE
P244,NONE
P245,ULD-4
P246,NONE
P247,NONE
P248,ULD-8
P249,NONE
P250,ULD-6
